<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130603,000000,138.7398000,139.1938800,135.7142900,138.5306100,0
20130604,000000,138.5663300,139.8673500,136.8622500,137.2244900,0
20130605,000000,136.8367400,137.6224500,134.2500000,134.8673500,0
20130606,000000,134.5408200,136.5918400,133.6224500,136.5918400,0
20130607,000000,137.0765300,138.6836700,136.7295900,138.4591800,0
20130610,000000,139.0612200,139.5459200,138.1887800,138.8673500,0
20130611,000000,137.8469400,137.8775500,136.2500000,136.4438800,0
20130612,000000,137.0000000,137.4285700,134.8724500,135.3418400,0
20130613,000000,135.0765300,137.4846900,134.8673500,137.3520400,0
20130614,000000,137.1377500,137.2500000,134.8367400,135.0510200,0
20130617,000000,135.7193900,137.0153100,135.5000000,136.1989800,0
20130618,000000,136.3061200,137.5357100,136.2806100,137.1887800,0
20130619,000000,137.1122500,137.9438800,136.0867400,136.1122500,0
20130620,000000,135.3979600,135.3979600,133.5102000,134.0000000,0
20130621,000000,134.4234700,134.8826500,132.5153100,134.1071400,0
20130624,000000,132.8622500,132.8622500,130.2398000,131.3265300,0
20130625,000000,132.5510200,135.0102000,132.5510200,134.3214300,0
20130626,000000,135.0255100,136.1683700,134.7806100,135.5969400,0
20130627,000000,136.5102000,137.8265300,136.1836700,137.4234700,0
20130628,000000,137.1632600,137.3367400,135.9693900,136.5357100,0
20130701,000000,137.1275500,139.0204100,137.0765300,137.2091800,0
20130702,000000,137.0459200,138.9183700,136.6683700,137.4949000,0
20130703,000000,136.9744900,137.4387800,136.0102000,137.3061200,0
20130705,000000,138.2908200,140.2959200,138.2908200,140.2908200,0
20130708,000000,140.9949000,142.4387800,140.9949000,141.9642900,0
20130709,000000,142.2449000,142.8826500,141.1581600,142.8061200,0
20130710,000000,142.6173500,142.6173500,140.7857100,141.4132600,0
20130711,000000,142.3775500,142.9132600,140.2755100,141.3928600,0
20130712,000000,141.8214300,143.2959200,141.6785700,143.0663300,0
20130715,000000,143.6377500,144.4132600,143.3775500,144.1938800,0
20130716,000000,144.2755100,144.6887800,142.6581600,143.6377500,0
20130717,000000,143.8265300,145.3112200,143.8265300,144.6581600,0
20130718,000000,145.0969400,147.8571400,145.0969400,147.6071400,0
20130719,000000,147.4642900,147.7908200,146.7959200,147.6581600,0
20130722,000000,147.8775500,148.8877500,147.2704100,148.8775500,0
20130723,000000,149.2653100,149.3316300,148.5714300,149.0561200,0
20130724,000000,149.3877500,149.5153100,148.0816300,148.2857100,0
20130725,000000,147.6734700,147.9132600,146.6020400,147.8877500,0
20130726,000000,147.0204100,147.2755100,146.1836700,147.1479600,0
20130729,000000,146.8163300,146.8163300,145.4030600,145.9132600,0
20130730,000000,146.3367400,146.8724500,145.5612200,145.8928600,0
20130731,000000,146.6683700,148.2346900,146.5255100,146.5408200,0
20130801,000000,147.4387800,149.5561200,147.4387800,149.1785700,0
20130802,000000,148.8826500,149.2193900,148.1836700,149.1530600,0
20130805,000000,148.9387800,149.3520400,148.3826500,148.6836700,0
20130806,000000,148.4285700,148.4285700,146.7398000,146.9489800,0
20130807,000000,145.9591800,146.0969400,144.8622500,145.7244900,0
20130808,000000,146.8010200,147.0051000,144.6938800,145.8724500,0
20130809,000000,145.6020400,146.2142900,144.7346900,145.1122500,0
20130812,000000,144.5714300,145.0765300,144.0051000,144.6683700,0
20130813,000000,144.8418400,145.9744900,143.8469400,145.3877500,0
20130814,000000,145.5204100,146.4898000,145.1989800,145.2040800,0
20130815,000000,144.6938800,144.6938800,142.9489800,143.5306100,0
20130816,000000,143.3367400,144.5918400,142.9132600,143.4795900,0
20130819,000000,143.1581600,143.1581600,141.3112200,141.3214300,0
20130820,000000,141.1224500,142.9898000,140.8316300,142.4846900,0
20130821,000000,142.0714300,142.9438800,140.9081600,141.5714300,0
20130822,000000,142.0204100,143.7959200,142.0204100,143.2908200,0
20130823,000000,143.6275500,143.8265300,142.6530600,143.3265300,0
20130826,000000,143.2704100,143.9030600,142.1734700,142.1785700,0
20130827,000000,140.5510200,140.7653100,138.0459200,138.1581600,0
20130828,000000,137.6632600,139.4336700,137.3010200,138.3520400,0
20130829,000000,138.1020400,139.7295900,138.1020400,138.6428600,0
20130830,000000,138.8367400,138.8928600,137.3877500,137.9081600,0
20130903,000000,139.4030600,140.6683700,138.1632600,138.9489800,0
20130904,000000,138.8622500,140.4540800,138.6938800,139.8061200,0
20130905,000000,139.8826500,141.3673500,139.8826500,140.7295900,0
20130906,000000,141.1377500,141.3622500,138.6428600,140.2398000,0
20130909,000000,140.4744900,141.1581600,139.9438800,141.1581600,0
20130910,000000,142.3061200,143.2806100,142.1122500,142.9795900,0
20130911,000000,142.9336700,143.0612200,141.9234700,142.6020400,0
20130912,000000,142.7244900,142.9540800,141.1173500,141.3469400,0
20130913,000000,141.4132600,142.0408200,141.0969400,141.7142900,0
20130916,000000,142.2040800,143.7398000,142.2040800,143.0459200,0
20130917,000000,143.1377500,143.5459200,142.6785700,143.5102000,0
20130918,000000,143.3265300,145.8877500,143.0357100,144.5255100,0
20130919,000000,145.2346900,145.2704100,142.6581600,143.0459200,0
20130920,000000,143.1122500,143.5867400,142.4285700,142.5663300,0
20130923,000000,141.5000000,141.5000000,139.5867400,139.8826500,0
20130924,000000,139.6377500,139.9030600,138.5714300,138.5765300,0
20130925,000000,138.5816300,140.1683700,137.7959200,139.6938800,0
20130926,000000,139.7091800,140.6377500,138.5153100,139.2551000,0
20130927,000000,138.7857100,139.7091800,138.5306100,139.1479600,0
20130930,000000,138.1173500,139.1785700,137.0102000,138.4438800,0
20131001,000000,138.5204100,139.6275500,138.3520400,139.3418400,0
20131002,000000,138.5918400,139.5867400,138.0663300,139.1632600,0
20131003,000000,139.0663300,139.1989800,137.5561200,138.5510200,0
20131004,000000,138.6020400,139.9540800,138.6020400,139.9438800,0
20131007,000000,138.6377500,138.6734700,137.5612200,137.5663300,0
20131008,000000,137.4898000,137.9693900,135.9795900,136.0306100,0
20131009,000000,136.4489800,137.2857100,135.5867400,136.5561200,0
20131010,000000,137.1530600,140.5153100,137.1530600,140.4387800,0
20131011,000000,139.8673500,141.0867400,138.9744900,140.7908200,0
20131014,000000,140.1377500,141.9438800,139.6938800,141.6479600,0
20131015,000000,141.6224500,142.1632600,140.2091800,140.4540800,0
20131016,000000,141.2244900,144.0000000,141.2244900,143.7857100,0
20131017,000000,143.2857100,144.9540800,142.8010200,144.8214300,0
20131018,000000,144.7500000,145.3928600,143.8928600,145.1224500,0
20131021,000000,145.0459200,145.5918400,144.5153100,144.9438800,0
20131022,000000,145.1428600,145.6326500,144.7653100,144.7653100,0
20131023,000000,144.3775500,144.3826500,143.2857100,143.3673500,0
20131024,000000,143.3061200,143.4336700,142.3367400,143.0459200,0
20131025,000000,142.7653100,143.5867400,142.7653100,143.5255100,0
20131028,000000,143.5459200,144.1428600,143.1071400,143.5816300,0
20131029,000000,143.7398000,144.0765300,142.9183700,143.5204100,0
20131030,000000,143.7295900,144.4387800,143.1734700,143.3571400,0
20131031,000000,143.3163300,143.3163300,141.2857100,141.2857100,0
20131101,000000,141.2755100,142.2142900,141.1275500,141.7755100,0
20131104,000000,142.1020400,142.1581600,141.4183700,141.5765300,0
20131105,000000,141.2653100,141.6887800,140.8316300,141.2653100,0
20131106,000000,141.4540800,141.7755100,141.1530600,141.6173500,0
20131107,000000,141.9693900,142.2500000,140.0408200,140.0408200,0
20131108,000000,140.2142900,144.7704100,140.2142900,144.7653100,0
20131111,000000,144.6173500,145.0051000,144.0561200,144.8367400,0
20131112,000000,144.4540800,144.6734700,143.1275500,143.5561200,0
20131113,000000,142.8979600,144.9438800,142.3418400,144.9387800,0
20131114,000000,145.0000000,145.9795900,144.4336700,145.9132600,0
20131115,000000,145.9540800,146.9081600,145.8571400,146.6887800,0
20131118,000000,147.2908200,148.3928600,146.7959200,147.1734700,0
20131119,000000,147.2602000,148.8316300,147.1836700,148.0204100,0
20131120,000000,148.1428600,148.6887800,147.3010200,147.8265300,0
20131121,000000,148.1071400,150.7142900,148.1071400,150.3469400,0
20131122,000000,150.4898000,151.5102000,150.2091800,151.3724500,0
20131125,000000,151.5561200,153.0612200,151.5561200,152.2500000,0
20131126,000000,152.3673500,152.8265300,151.9234700,151.9234700,0
20131127,000000,151.9540800,152.6428600,151.9030600,152.1428600,0
20131129,000000,152.2040800,152.7295900,151.5153100,151.5816300,0
20131202,000000,151.7449000,152.7398000,151.0000000,151.1683700,0
20131203,000000,150.9132600,151.3367400,148.5816300,149.6122500,0
20131204,000000,148.5000000,150.7704100,148.4744900,150.1122500,0
20131205,000000,149.7449000,149.7449000,147.9949000,148.1734700,0
20131206,000000,149.3571400,150.5816300,148.9744900,150.1071400,0
20131209,000000,150.4591800,151.2244900,150.4591800,150.7449000,0
20131210,000000,150.5714300,151.3010200,150.2142900,150.2551000,0
20131211,000000,150.2295900,150.2908200,147.8826500,148.1326500,0
20131212,000000,148.1836700,149.3724500,147.9591800,148.6581600,0
20131213,000000,148.9591800,149.2142900,148.0816300,148.4846900,0
20131216,000000,149.0918400,149.8316300,149.0918400,149.3622500,0
20131217,000000,149.2295900,149.2295900,148.0459200,148.2040800,0
20131218,000000,148.3724500,151.9642900,147.6785700,151.9030600,0
20131219,000000,151.5204100,152.4081600,151.0000000,151.9336700,0
20131220,000000,152.1377500,153.0051000,152.0714300,152.3469400,0
20131223,000000,152.7755100,154.0255100,152.7755100,153.6020400,0
20131224,000000,153.6377500,153.9489800,153.5306100,153.8265300,0
20131226,000000,154.0663300,154.3724500,153.6428600,153.7551000,0
20131227,000000,153.7806100,154.0714300,153.5102000,153.6887800,0
20131230,000000,153.6989800,153.8877500,152.8622500,153.1428600,0
20131231,000000,153.5051000,153.7653100,153.1071400,153.6122500,0
20140102,000000,153.5969400,153.8469400,152.7755100,153.4183700,0
20140103,000000,153.8520400,155.3163300,153.8367400,154.8979600,0
20140106,000000,155.8010200,156.7908200,155.6326500,155.7551000,0
20140107,000000,156.5204100,156.8163300,155.2193900,155.7398000,0
20140108,000000,156.0561200,157.1326500,155.8265300,157.0459200,0
20140109,000000,157.1224500,158.1020400,156.9949000,158.0765300,0
20140110,000000,157.9949000,157.9949000,156.5663300,157.4183700,0
20140113,000000,157.2959200,157.4081600,154.9336700,155.3724500,0
20140114,000000,155.9132600,156.4285700,155.0459200,156.1938800,0
20140115,000000,157.3265300,159.3010200,157.3061200,159.0459200,0
20140116,000000,158.0714300,158.0714300,157.1428600,157.5459200,0
20140117,000000,157.8010200,158.1581600,156.7959200,157.0969400,0
20140121,000000,157.4744900,158.6632600,156.7653100,157.8826500,0
20140122,000000,158.2091800,158.2602000,157.4489800,158.1377500,0
20140123,000000,157.9744900,157.9744900,154.6887800,155.6326500,0
20140124,000000,154.5714300,154.5714300,152.1989800,152.1989800,0
20140127,000000,152.0153100,153.1632600,150.3979600,151.3673500,0
20140128,000000,151.7653100,153.5255100,151.7653100,153.1683700,0
